"","spc.season","Harbour","meanQuantitycopies","LOD","LOQ","eDNA_eval_mean","eDNA_col_eval_mean","spc","season","Genus","species","dk_comnm","Harbour.Saeson.EuroFinsExtrSmpleno","Coll_date","volfilt_mL","declat","declon","EuroFinsampleno","gen_specnm.Wellname.season.no1","freq_NoCt","freq_belowLOD","freq_AbLOD_BeLOQ","freq_aboveLOQ","freq_repl_eval","eDNA_eval_p_repl_col","eDNA_eval_p_repl_descr","AssayIDcode","AssayIDNo","spc.Harbour","conv_rec_val","col.f.conv_rec_val","valid_comb_score","valid_hexcol","valid_score","categ_valid","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L","no_for_log.10_eDNAlvls","col_log.10_eDNAlvls","col.f.green.hexcol.ab.LOQ","eDNA_eval_t_repl_col"
"183","Mya_arenaria.efteraar","Fredericia",0,500,500,"NoCt","white","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Fredericia.efteraar.1","2017.oct.11",1000,55.5579,9.7489,"smpl05","Mya_arenaria.smpl05.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Fredericia",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"223","Mya_arenaria.efteraar","Frederikshavn",1226.4,500,500,"aboveLOQ","black","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Frederikshavn.efteraar.1","2017.oct.06",3000,57.4421,10.5622,"smpl06","Mya_arenaria.smpl06.efteraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.Frederikshavn",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",28.616,28616,28617,4.45662410350706,9,6,"#00BF00","black"
"263","Mya_arenaria.efteraar","Gedser",6115.33333333333,500,500,"aboveLOQ","black","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Gedser.efteraar.1","2017.sep.23",1000,54.5719,11.9277,"smpl07","Mya_arenaria.smpl07.efteraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.Gedser",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",428.073333333333,428073.333333333,428074.333333333,5.63151918899789,10,7,"#007F00","black"
"303","Mya_arenaria.efteraar","Grenaa",2048,500,500,"aboveLOQ","black","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Grenaa.efteraar.1","2017.sep.19",1000,56.4126,10.9332,"smpl08","Mya_arenaria.smpl08.efteraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.Grenaa",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",143.36,143360,143361,5.15643102170538,10,7,"#007F00","black"
"343","Mya_arenaria.efteraar","Helsingoer",0,500,500,"NoCt","white","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Helsingoer.efteraar.1","2017.sep.13",1000,56.0357,12.6176,"smpl09","Mya_arenaria.smpl09.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Helsingoer",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"383","Mya_arenaria.efteraar","Hirtshals",0,500,500,"NoCt","white","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Hirtshals.efteraar.1","2017.nov.08",600,57.5975,9.9772,"smpl10","Mya_arenaria.smpl10.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Hirtshals",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"423","Mya_arenaria.efteraar","Kalundborg",0,500,500,"NoCt","white","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Kalundborg.efteraar.1","2017.sep.22",1000,55.6773,11.073,"smpl11","Mya_arenaria.smpl11.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Kalundborg",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"463","Mya_arenaria.efteraar","KalundborgStatiolHavn",4031.33333333333,500,500,"aboveLOQ","black","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","KalundborgStatiolHavn.efteraar.1","2017.sep.22",1000,55.6643,11.0736,"smpl15","Mya_arenaria.smpl15.efteraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.KalundborgStatiolHavn",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",282.193333333333,282193.333333333,282194.333333333,5.45054828855804,10,7,"#007F00","black"
"503","Mya_arenaria.efteraar","Koebenhavn",0,500,500,"NoCt","white","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Koebenhavn.efteraar.1","2017.sep.12",1650,55.6652,12.5702,"smpl12","Mya_arenaria.smpl12.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Koebenhavn",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"543","Mya_arenaria.efteraar","Koege",0,500,500,"NoCt","white","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Koege.efteraar.1","2017.sep.12",450,55.4566,12.204,"smpl16","Mya_arenaria.smpl16.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Koege",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"583","Mya_arenaria.efteraar","Odense",222.266666666667,500,500,"belowLOD","yellow","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Odense.efteraar.1","2017.sep.15",800,55.4101,10.378,"smpl13","Mya_arenaria.smpl13.efteraar.1",0,3,0,0,"'0/3/0/0'",2,"belowLOD","AssID15","15","Mya_arenaria.Odense",1,"red","2_and_1","#C4D79B",7,"BeLOD_FB",19.4483333333333,19448.3333333333,19449.3333333333,4.28890471956318,2,0,"0","yellow"
"623","Mya_arenaria.efteraar","Roedby",1.68,500,500,"belowLOD","yellow","Mya_arenaria","efteraar","Mya","arenaria","sandmusling","Roedby.efteraar.1","2017.sep.23",200,54.6541,11.3461,"smpl14","Mya_arenaria.smpl14.efteraar.1",1,2,0,0,"'1/2/0/0'",2,"belowLOD","AssID15","15","Mya_arenaria.Roedby",1,"red","2_and_1","#C4D79B",7,"BeLOD_FB",0.588,588,589,2.7701152947871,2,0,"0","yellow"
"24","Mya_arenaria.foraar","AalborgHavn",0,50,500,"NoCt","white","Mya_arenaria","foraar","Mya","arenaria","sandmusling","AalborgHavn.foraar.1","2017.jun.29",1000,57.0514,9.9319,"smpl04","Mya_arenaria.smpl04.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.AalborgHavn",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"64","Mya_arenaria.foraar","Aalborgportland",17696.6666666667,50,500,"aboveLOQ","black","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Aalborgportland.foraar.1","2017.jun.30",1000,57.0514,9.9319,"smpl03","Mya_arenaria.smpl03.foraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.Aalborgportland",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",1238.76666666667,1238766.66666667,1238767.66666667,6.0929898612218,11,8,"#003F00","black"
"104","Mya_arenaria.foraar","Aarhus",0,50,500,"NoCt","white","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Aarhus.foraar.1","2017.jul.05",2400,56.1597,10.2301,"smpl02","Mya_arenaria.smpl02.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Aarhus",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"144","Mya_arenaria.foraar","Esbjerg",0,50,500,"NoCt","white","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Esbjerg.foraar.1","2017.jun.27",1000,55.4578,8.442,"smpl01","Mya_arenaria.smpl01.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Esbjerg",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"184","Mya_arenaria.foraar","Fredericia",0,50,500,"NoCt","white","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Fredericia.foraar.1","2017.jul.05",1600,55.5579,9.7489,"smpl05","Mya_arenaria.smpl05.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Fredericia",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"224","Mya_arenaria.foraar","Frederikshavn",0,50,500,"NoCt","white","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Frederikshavn.foraar.1","2017.jun.28",1000,57.4421,10.5622,"smpl06","Mya_arenaria.smpl06.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Frederikshavn",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"264","Mya_arenaria.foraar","Gedser",9870.66666666667,50,500,"aboveLOQ","black","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Gedser.foraar.1","2017.jul.04",700,54.5719,11.9277,"smpl07","Mya_arenaria.smpl07.foraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.Gedser",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",987.066666666667,987066.666666667,987067.666666667,5.99434692597523,10,7,"#007F00","black"
"304","Mya_arenaria.foraar","Grenaa",27.65,50,500,"belowLOD","yellow","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Grenaa.foraar.1","2017.jul.05",1100,56.4126,10.9332,"smpl08","Mya_arenaria.smpl08.foraar.1",0,3,0,0,"'0/3/0/0'",2,"belowLOD","AssID15","15","Mya_arenaria.Grenaa",1,"red","2_and_1","#C4D79B",7,"BeLOD_FB",1.75954545454545,1759.54545454545,1760.54545454545,3.24564724235902,2,0,"0","yellow"
"344","Mya_arenaria.foraar","Helsingoer",0,50,500,"NoCt","white","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Helsingoer.foraar.1","2017.jul.11",1000,56.0357,12.6176,"smpl09","Mya_arenaria.smpl09.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Helsingoer",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"384","Mya_arenaria.foraar","Hirtshals",0,50,500,"NoCt","white","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Hirtshals.foraar.1","2017.jun.28",1000,57.5975,9.9772,"smpl10","Mya_arenaria.smpl10.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Hirtshals",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"424","Mya_arenaria.foraar","Kalundborg",41600,50,500,"aboveLOQ","black","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Kalundborg.foraar.1","2017.jul.03",1500,55.6773,11.073,"smpl11","Mya_arenaria.smpl11.foraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.Kalundborg",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",1941.33333333333,1941333.33333333,1941334.33333333,6.28810033529464,11,8,"#003F00","black"
"464","Mya_arenaria.foraar","KalundborgStatiolHavn",5755,50,500,"aboveLOQ","black","Mya_arenaria","foraar","Mya","arenaria","sandmusling","KalundborgStatiolHavn.foraar.1","2017.jul.02",1500,55.6643,11.0736,"smpl15","Mya_arenaria.smpl15.foraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.KalundborgStatiolHavn",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",268.566666666667,268566.666666667,268567.666666667,5.42905372600397,10,7,"#007F00","black"
"504","Mya_arenaria.foraar","Koebenhavn",17873.3333333333,50,500,"aboveLOQ","black","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Koebenhavn.foraar.1","2017.jun.09",1800,55.6652,12.5702,"smpl12","Mya_arenaria.smpl12.foraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.Koebenhavn",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",695.074074074074,695074.074074074,695075.074074074,5.84203171465525,10,7,"#007F00","black"
"544","Mya_arenaria.foraar","Koege",0,50,500,"NoCt","white","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Koege.foraar.1","2017.jul.04",850,55.4566,12.204,"smpl16","Mya_arenaria.smpl16.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID15","15","Mya_arenaria.Koege",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"584","Mya_arenaria.foraar","Odense",23960,50,500,"aboveLOQ","black","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Odense.foraar.1","2017.jul.19",800,55.4101,10.378,"smpl13","Mya_arenaria.smpl13.foraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.Odense",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",2096.5,2096500,2096501,6.32149507389169,11,8,"#003F00","black"
"624","Mya_arenaria.foraar","Roedby",1380.5,50,500,"aboveLOQ","black","Mya_arenaria","foraar","Mya","arenaria","sandmusling","Roedby.foraar.1","2017.jul.04",500,54.6541,11.3461,"smpl14","Mya_arenaria.smpl14.foraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID15","15","Mya_arenaria.Roedby",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",193.27,193270,193271,5.28616669373459,10,7,"#007F00","black"
"25","Neogobius_melanostomus.efteraar","AalborgHavn",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","AalborgHavn.efteraar.1","2017.oct.11",1000,57.0514,9.9319,"smpl04","Neogobius_melanostomus.smpl04.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.AalborgHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"65","Neogobius_melanostomus.efteraar","Aalborgportland",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Aalborgportland.efteraar.1","2017.oct.11",2500,57.0514,9.9319,"smpl03","Neogobius_melanostomus.smpl03.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Aalborgportland",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"105","Neogobius_melanostomus.efteraar","Aarhus",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Aarhus.efteraar.1","2017.sep.19",1000,56.1597,10.2301,"smpl02","Neogobius_melanostomus.smpl02.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Aarhus",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"145","Neogobius_melanostomus.efteraar","Esbjerg",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Esbjerg.efteraar.1","2017.oct.17",200,55.4578,8.442,"smpl01","Neogobius_melanostomus.smpl01.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Esbjerg",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"185","Neogobius_melanostomus.efteraar","Fredericia",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Fredericia.efteraar.1","2017.oct.11",1000,55.5579,9.7489,"smpl05","Neogobius_melanostomus.smpl05.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Fredericia",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"225","Neogobius_melanostomus.efteraar","Frederikshavn",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Frederikshavn.efteraar.1","2017.oct.06",3000,57.4421,10.5622,"smpl06","Neogobius_melanostomus.smpl06.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Frederikshavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"265","Neogobius_melanostomus.efteraar","Gedser",2.50666666666667,5,5,"belowLOD","yellow","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Gedser.efteraar.1","2017.sep.23",1000,54.5719,11.9277,"smpl07","Neogobius_melanostomus.smpl07.efteraar.1",0,3,0,0,"'0/3/0/0'",2,"belowLOD","AssID09A","09A","Neogobius_melanostomus.Gedser",2,"black","2_and_2","#8DB4E2",12,"BeLOD_FM4",0.175466666666667,175.466666666667,176.466666666667,2.24666268224567,2,0,"0","yellow"
"305","Neogobius_melanostomus.efteraar","Grenaa",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Grenaa.efteraar.1","2017.sep.19",1000,56.4126,10.9332,"smpl08","Neogobius_melanostomus.smpl08.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Grenaa",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"345","Neogobius_melanostomus.efteraar","Helsingoer",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Helsingoer.efteraar.1","2017.sep.13",1000,56.0357,12.6176,"smpl09","Neogobius_melanostomus.smpl09.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Helsingoer",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"385","Neogobius_melanostomus.efteraar","Hirtshals",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Hirtshals.efteraar.1","2017.nov.08",600,57.5975,9.9772,"smpl10","Neogobius_melanostomus.smpl10.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Hirtshals",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"425","Neogobius_melanostomus.efteraar","Kalundborg",0.0179733333333333,5,5,"belowLOD","yellow","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Kalundborg.efteraar.1","2017.sep.22",1000,55.6773,11.073,"smpl11","Neogobius_melanostomus.smpl11.efteraar.1",2,1,0,0,"'2/1/0/0'",2,"belowLOD","AssID09A","09A","Neogobius_melanostomus.Kalundborg",2,"black","2_and_2","#8DB4E2",12,"BeLOD_FM4",0.00125813333333333,1.25813333333333,2.25813333333333,0.353749581619656,2,0,"0","yellow"
"465","Neogobius_melanostomus.efteraar","KalundborgStatiolHavn",1.29,5,5,"belowLOD","yellow","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","KalundborgStatiolHavn.efteraar.1","2017.sep.22",1000,55.6643,11.0736,"smpl15","Neogobius_melanostomus.smpl15.efteraar.1",0,3,0,0,"'0/3/0/0'",2,"belowLOD","AssID09A","09A","Neogobius_melanostomus.KalundborgStatiolHavn",2,"black","2_and_2","#8DB4E2",12,"BeLOD_FM4",0.0903,90.3,91.3,1.9604707775343,2,0,"0","yellow"
"505","Neogobius_melanostomus.efteraar","Koebenhavn",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Koebenhavn.efteraar.1","2017.sep.12",1650,55.6652,12.5702,"smpl12","Neogobius_melanostomus.smpl12.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Koebenhavn",2,"black","1_and_2","#538DD5",11,"NoCt_FM4",0,0,1,0,1,0,"0","white"
"545","Neogobius_melanostomus.efteraar","Koege",0.544466666666667,5,5,"belowLOD","yellow","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Koege.efteraar.1","2017.sep.12",450,55.4566,12.204,"smpl16","Neogobius_melanostomus.smpl16.efteraar.1",0,3,0,0,"'0/3/0/0'",2,"belowLOD","AssID09A","09A","Neogobius_melanostomus.Koege",2,"black","2_and_2","#8DB4E2",12,"BeLOD_FM4",0.0846948148148148,84.6948148148148,85.6948148148148,1.93295454461351,2,0,"0","yellow"
"585","Neogobius_melanostomus.efteraar","Odense",0,5,5,"NoCt","white","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Odense.efteraar.1","2017.sep.15",800,55.4101,10.378,"smpl13","Neogobius_melanostomus.smpl13.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Odense",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"625","Neogobius_melanostomus.efteraar","Roedby",0.06335,5,5,"belowLOD","yellow","Neogobius_melanostomus","efteraar","Neogobius","melanostomus","sortmundetkutling","Roedby.efteraar.1","2017.sep.23",200,54.6541,11.3461,"smpl14","Neogobius_melanostomus.smpl14.efteraar.1",0,3,0,0,"'0/3/0/0'",2,"belowLOD","AssID09A","09A","Neogobius_melanostomus.Roedby",2,"black","2_and_2","#8DB4E2",12,"BeLOD_FM4",0.0221725,22.1725,23.1725,1.36497289083074,2,0,"0","yellow"
"26","Neogobius_melanostomus.foraar","AalborgHavn",0,5,5,"NoCt","white","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","AalborgHavn.foraar.1","2017.jun.29",1000,57.0514,9.9319,"smpl04","Neogobius_melanostomus.smpl04.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.AalborgHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"66","Neogobius_melanostomus.foraar","Aalborgportland",0,5,5,"NoCt","white","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","Aalborgportland.foraar.1","2017.jun.30",1000,57.0514,9.9319,"smpl03","Neogobius_melanostomus.smpl03.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Aalborgportland",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"106","Neogobius_melanostomus.foraar","Aarhus",0,5,5,"NoCt","white","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","Aarhus.foraar.1","2017.jul.05",2400,56.1597,10.2301,"smpl02","Neogobius_melanostomus.smpl02.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Aarhus",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"146","Neogobius_melanostomus.foraar","Esbjerg",0,5,5,"NoCt","white","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","Esbjerg.foraar.1","2017.jun.27",1000,55.4578,8.442,"smpl01","Neogobius_melanostomus.smpl01.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Esbjerg",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"186","Neogobius_melanostomus.foraar","Fredericia",0,5,5,"NoCt","white","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","Fredericia.foraar.1","2017.jul.05",1600,55.5579,9.7489,"smpl05","Neogobius_melanostomus.smpl05.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Fredericia",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"226","Neogobius_melanostomus.foraar","Frederikshavn",0,5,5,"NoCt","white","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","Frederikshavn.foraar.1","2017.jun.28",1000,57.4421,10.5622,"smpl06","Neogobius_melanostomus.smpl06.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Frederikshavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"266","Neogobius_melanostomus.foraar","Gedser",1.8506,5,5,"belowLOD","yellow","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","Gedser.foraar.1","2017.jul.04",700,54.5719,11.9277,"smpl07","Neogobius_melanostomus.smpl07.foraar.1",0,3,0,0,"'0/3/0/0'",2,"belowLOD","AssID09A","09A","Neogobius_melanostomus.Gedser",2,"black","2_and_2","#8DB4E2",12,"BeLOD_FM4",0.18506,185.06,186.06,2.26965301662097,2,0,"0","yellow"
"306","Neogobius_melanostomus.foraar","Grenaa",0,5,5,"NoCt","white","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","Grenaa.foraar.1","2017.jul.05",1100,56.4126,10.9332,"smpl08","Neogobius_melanostomus.smpl08.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Grenaa",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"346","Neogobius_melanostomus.foraar","Helsingoer",0,5,5,"NoCt","white","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","Helsingoer.foraar.1","2017.jul.11",1000,56.0357,12.6176,"smpl09","Neogobius_melanostomus.smpl09.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Helsingoer",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"386","Neogobius_melanostomus.foraar","Hirtshals",0,5,5,"NoCt","white","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","Hirtshals.foraar.1","2017.jun.28",1000,57.5975,9.9772,"smpl10","Neogobius_melanostomus.smpl10.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID09A","09A","Neogobius_melanostomus.Hirtshals",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"426","Neogobius_melanostomus.foraar","Kalundborg",0.0331166666666667,5,5,"belowLOD","yellow","Neogobius_melanostomus","foraar","Neogobius","melanostomus","sortmundetkutling","Kalundborg.foraar.1","2017.jul.03",1500,55.6773,11.073,"smpl11","Neogobius_melanostomus.smpl11.foraar.1",1,2,0,0,"'1/2/0/0'",2,"belowLOD","AssID09A","09A","Neogobius_melanostomus.Kalundborg",2,"black","2_and_2","#8DB4E2",12,"BeLOD_FM4",0.00154544444444444,1.54544444444444,2.54544444444444,0.405763622789774,2,0,"0","yellow"
